Postal Code,Latitude,Longitude
460089,1.332335,103.938051
389551,1.31415,103.888545
486038,1.334325,103.962389
486018,1.33492,103.963654
467360,1.324772,103.929268
461057,1.324246,103.941569
819643,1.355191,103.988751
428751,1.30385,103.90285
358361,1.332536,103.867037
397628,1.303843,103.872751
528833,1.342706,103.953025
368125,1.331771,103.879295
539775,1.336539,103.888763
408600,1.318869,103.894731
437106,1.304164,103.896327
100108,1.281122,103.810031
98585,1.263896,103.821589
130028,1.304764,103.781697
680140,1.380031,103.753118
648331,1.339315,103.705351
689578,1.397302,103.746558
689715,1.397129,103.74733
638127,1.311468,103.63034
129588,1.314853,103.764248
101078,1.273383,103.808935
119963,1.273677,103.801127
609731,1.333268,103.740177
120352,1.314279,103.771351
640498,1.348333,103.724307
120502,1.311886,103.759081
119082,1.292774,103.784084
650280,1.347701,103.757045
608549,1.3332,103.74317
659003,1.366507,103.746847
638121,1.311002,103.631572
629117,1.324607,103.678096
637734,1.300911,103.627789
680533,1.392074,103.7431
600037,1.32052,103.742652
698928,1.371933,103.720857
600249,1.342591,103.739199
109684,1.282201,103.803024
639548,1.348134,103.685418
650451,1.353038,103.743948
119866,1.276045,103.797187
168732,1.286463,103.826935
150166,1.28312,103.817643
329783,1.325127,103.851056
160050,1.289778,103.826794
81005,1.276241,103.843006
239571,1.297275,103.838534
677743,1.380542,103.763994
757713,1.448227,103.819462
739044,1.432626,103.774051
730888,1.437557,103.795136
760414,1.424528,103.846596
739065,1.429195,103.781137
769093,1.429525,103.834995
760849,1.416983,103.835218
670628,1.385096,103.760218
560215,1.366558,103.841624
769162,1.411036,103.84404
269707,1.323835,103.81
120451,1.312483,103.765477
588996,1.338657,103.77856
600135,1.333753,103.739371
648886,1.33983,103.706461
610063,1.332059,103.722453
610399,1.335042,103.720268
650166,1.347162,103.742808
659958,1.348711,103.749335
600345,1.345512,103.731219
142057,1.292703,103.810959
554913,1.375635,103.871996
330071,1.320993,103.87039
150001,1.286454,103.808242
248371,1.293018,103.826941
307506,1.32043,103.843892
569933,1.369249,103.848399
210043,1.315363,103.849435
380005,1.312655,103.872542
169252,1.284807,103.829298
320080,1.323796,103.855671
208539,1.311393,103.856487
160150,1.277077,103.831426
187950,1.298273,103.8506
228209,1.305856,103.832984
560712,1.371409,103.847083
79027,1.274588,103.843471
329984,1.327085,103.846476
791447,1.392138,103.872491
38983,1.294879,103.857676
200808,1.308806,103.861312
79717,1.274618,103.84432
797653,1.391393,103.876068
540279,1.386218,103.892996
159053,1.28668,103.813766
560574,1.370895,103.856397
571410,1.363216,103.835445
330030,1.319093,103.863905
310095,1.338891,103.848993
38983,1.294879,103.857676
160034,1.288077,103.827081
18984,1.280228,103.853349
208539,1.311393,103.856487
380114,1.321766,103.886673
460212,1.325941,103.93164
552152,1.369799,103.873036
449411,1.30142,103.907113
459125,1.312308,103.925235
370077,1.328557,103.88535
428932,1.308362,103.907989
640221,1.346348,103.712429
689812,1.385068,103.74495
521138,1.345281,103.945344
820168,1.394184,103.912976
521866,1.355422,103.934315
519599,1.377141,103.953599
543277,1.382337,103.893608
529536,1.354316,103.945019
538767,1.37178,103.894165
556679,1.365161,103.865042
820612,1.40461,103.908666
530476,1.37743,103.903713
528523,1.353496,103.939684
523878,1.351264,103.929364
523872,1.355243,103.931624
820681,1.402878,103.913196
730900,1.435078,103.78662
750511,1.453845,103.819543
750355,1.449566,103.818641
270036,1.309182,103.792547
677899,1.380605,103.760042
732570,1.431064,103.790454
678278,1.37835,103.762741
757733,1.453344,103.795682
768019,1.428,103.836142
730676,1.439916,103.800701
271029,1.308493,103.784598
768698,1.417999,103.841236
730573,1.431098,103.798508
570510,1.348888,103.849692
579837,1.350239,103.848478
538766,1.372312,103.893662
530682,1.373618,103.885749
530202,1.357576,103.884038
538692,1.375667,103.87945
518457,1.37245,103.949716
529510,1.352672,103.944388
470745,1.337405,103.921775
469000,1.323652,103.922103
760507,1.415176,103.83983
141088,1.302038,103.798022
469000,1.323652,103.922103
510258,1.367001,103.964618
651395,1.363938,103.751896
59413,1.284999,103.844697
563316,1.364625,103.847677
807011,1.387395,103.869136
428802,1.305235,103.905015
247696,1.304175,103.809526
310181,1.333622,103.850978
150086,1.28692,103.818674
460209,1.324636,103.931069
730678,1.439984,103.801293
640442,1.351518,103.719496
350120,1.335454,103.863388
470632,1.332051,103.914145
640503,1.349955,103.717705
138617,1.306849,103.788215
619392,1.320484,103.726723
752468,1.450009,103.814111
588177,1.342393,103.776251
589472,1.336676,103.783709
608532,1.334025,103.742586
640638,1.341591,103.69702
640763,1.348726,103.698292
651154,1.347372,103.743698
658713,1.350189,103.749022
529509,1.352361,103.943785
78884,1.276725,103.845155
529509,1.352361,103.943785
529509,1.352361,103.943785
270025,1.308119,103.786049
567720,1.377892,103.856412
537643,1.355309,103.887857
437157,1.314692,103.894481
608568,1.338327,103.753536
627851,1.333146,103.695248
460018,1.320625,103.934734
670256,1.379048,103.772937
738252,1.454647,103.804477
18987,1.280769,103.852659
268802,1.330817,103.795692
278967,1.310255,103.79535
423910,1.312122,103.911186
738344,1.440538,103.800978
769098,1.429698,103.835776
670547,1.38824,103.769575
790473,1.397799,103.881699
824622,1.400531,103.910537
161026,1.282634,103.825596
667979,1.362675,103.764173
400845,1.316545,103.894289
428802,1.305235,103.905015
670446,1.384006,103.77103
680475,1.378056,103.738932
680810,1.374058,103.74616
730780,1.448342,103.801057
750505,1.450262,103.822535
820218,1.403227,103.895387
820301,1.403719,103.906138
820639,1.399461,103.916055
820671,1.40566,103.911991
209037,1.307785,103.857011
247964,1.305612,103.822963
259760,1.322573,103.814246
498820,1.326744,104.003578
608538,1.319238,103.732882
278997,1.31053,103.796105
768897,1.433032,103.841601
680253,1.37744,103.744383
329363,1.326965,103.843674
238879,1.307669,103.828164
238843,1.301978,103.839759
639798,1.346765,103.678818
458278,1.312753,103.923658
419735,1.31715,103.903965
427437,1.312904,103.899711
448912,1.307061,103.92377
469560,1.331427,103.948257
471739,1.338242,103.923304
510440,1.368998,103.958648
514527,1.369686,103.947922
530982,1.38085,103.879309
307506,1.32043,103.843892
159953,1.288615,103.80501
50005,1.281197,103.843437
609601,1.335024,103.746638
120345,1.317703,103.769077
608537,1.31801,103.731949
530006,1.362714,103.893981
449269,1.301191,103.905114
460018,1.320625,103.934734
680018,1.378298,103.754071
380118,1.32,103.887363
310004,1.339045,103.855541
460089,1.332335,103.938051
600104,1.336585,103.737623
650376,1.358317,103.74958
460509,1.333066,103.931091
521487,1.359986,103.958248
760102,1.430618,103.828763
90008,1.277795,103.819341
270021,1.310081,103.788533
650159,1.348575,103.742709
760845,1.416019,103.835001
400306,1.329872,103.90193
530642,1.371703,103.879939
402001,1.316725,103.897977
597626,1.320442,103.778972
760925,1.427505,103.837125
730301,1.431505,103.773516
550253,1.353671,103.870757
520280,1.347535,103.951703
650284,1.346699,103.757277
550266,1.353232,103.871473
440056,1.305606,103.915376
372018,1.329181,103.888248
760293,1.436114,103.837605
680142,1.38079,103.751954
530309,1.366209,103.895145
321108,1.321619,103.859383
640962,1.342018,103.691483
600135,1.333753,103.739371
460115,1.331434,103.936865
320074,1.324716,103.857753
98537,1.24715,103.839555
99253,1.262063,103.818626
127371,1.303583,103.765285
680817,1.377544,103.7497
608538,1.319238,103.732882
238868,1.30581,103.831507
121420,1.309733,103.768637
129787,1.301761,103.769369
141085,1.29532,103.809759
179103,1.293894,103.85312
238873,1.302424,103.834676
310260,1.332113,103.857378
140170,1.290909,103.803108
59413,1.284999,103.844697
307591,1.317335,103.843463
538719,1.379245,103.887832
460029,1.32476,103.92437
199588,1.302751,103.865164
608538,1.319238,103.732882
608557,1.31621,103.732527
18961,1.278307,103.850795
469979,1.311795,103.936895
486442,1.321448,103.955419
